Type;Rarity;Name;Description
Consumable;Tier 1 - Common;Bead of Refreshment;This bead transforms up to a pint of the liquid into fresh drinking water.
Consumable;Tier 1 - Common;Candle of the Deep;This candle is not extinguished when immersed in water.
Consumable;Tier 1 - Common;Dark Shard Amulet;You can break this amulet to create a zone of complete darkness spreading to Close range.
Consumable;Tier 1 - Common;Heward's Handy Spice Pouch;Whenever you reach into this pouch, you can obtain any food seasoning of your choce. Can be used 10 times.
Consumable;Tier 1 - Common;Horn of Silent Alarm;When you blow into that horn, you can make one creature of your choosing hear the sound no matter the distance. Can be used 4 times.
Consumable;Tier 1 - Common;Instrument of Scribing;This instrument can write magical message on any surface that will last 24 hours. Can be used 3 times.
Consumable;Tier 1 - Common;Mystery Key;On a crit, this key can unlock a lock once.
Consumable;Tier 1 - Common;Perfume of Bwitching;Whenever you wear this perfume, you have advantage on Presence Action Rolls directed at humanoids for 1 hour.
Consumable;Tier 1 - Common;Potion of Climbing;This potion gives you incredible Climbing skills. Gain a +2 to your next Action Roll for climbing.
Consumable;Tier 4 - Legendary;Bridge Seed ;Thick vines grow from your location to a point of your choice within Far range, allowing you to climb up or across them. The vines dissipate on your next short rest. 
Consumable;Tier 4 - Legendary;Sleeping Sap ;You can drink this potion to fall asleep for a full night's rest. You clear all Stress upon waking. 
Consumable;Tier 4 - Legendary;Feast of Xuria ;You can eat this meal to clear all HP and Stress and gain 1d4 Hope. 
Consumable;Tier 4 - Legendary;Bonding Honey ;This honey can be used to glue two objects together permanently. 
Consumable;Tier 4 - Legendary;Shrinking Potion ;You can drink this potion to halve your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Agility and a ?1 penalty to your Proficiency. 
Consumable;Tier 4 - Legendary;Growing Potion ;You can drink this potion to double your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Strength and a +1 bonus to your Proficiency. 
Consumable;Tier 4 - Legendary;Knowledge Stone ;If you die while holding this stone, an ally can take a card from your loadout to place in their loadout or vault. After they take this knowledge, the stone crumbles. 
Consumable;Tier 4 - Legendary;Sweet Moss ;You can consume this moss during a rest to clear 1d4 HP or 1d4 Stress. 
Consumable;Tier 4 - Legendary;Blinding Orb ;You can activate this orb to create a flash of bright light. All targets within Close range become Vulnerable until they mark HP. 
Consumable;Tier 4 - Legendary;Death Tea ;After you drink this tea, you instantly kill your target when you critically succeed on an attack. If you don't critically succeed on an attack before your next long rest, you die. 
Consumable;Tier 4 - Legendary;Mirror of Marigold ;When you take damage, you can spend a Hope to negate that damage, after which the mirror shatters. 
Consumable;Tier 4 - Legendary;Stardrop ;You can use this stardrop to summon a hailstorm of comets that deals 8d20 physical damage to all targets within Very Far range. 
Consumable;Tier 4 - Legendary;Cubic Gate;A 1-foot cube with intricate arcanic patterns. Once activated with Knowledge or Instinct Roll (20), the cube will extend from its position up to Far Range in all direction. Everything enclosed in the Cubic Gate will be transported at any place decided by the caster that is physically reachable. Can only be used once.
Consumable;Tier 4 - Legendary;Potion of Dragon's Majesty;Transform into an adult dragon for 1 hour.
Consumable;Tier 4 - Legendary;Ring of Altered Reality;Once, you can spend 4 Hope to cast the spell Adjust Reality.
Consumable;Tier 4 - Legendary;Sovereign Glue;Once applied, this glue cannot be removed and the object cannot be separated.
Consumable;Tier 4 - Legendary;Sphere of Annihilation;A 2-foot diameter deep black sphere that, once activated, completely desintegrate anything that comes in contact with it in a Far range, including the sphere itself.
Consumable;Tier 4 - Legendary;Talisman of Pure Good;The talisman contains the pure essence of Good. When freed, the Essence will cover a range of Far and cleanse any ailment and curse. Clear all Stress and HP, as well as negative status.
Consumable;Tier 4 - Legendary;Talisman of the Sphere;When activated, the Talisman created an unpenetrable sphere up to Very Close Range that will last for 10min before dissolving. Can be used once.
Consumable;Tier 4 - Legendary;Talisman of Ultimate Evil;The talisman contains the pure essence of Eviil. When freed, the Essence will cover a range of Far and causes ailment and curse. Mark all Stress and lose all Hope. You cannot clear Stress through Short Rest. When taking a Long Rest, you can only clear Stress using a Short Rest Move.
Consumable;Tier 3 - Rare;Hopehold Flare ;When you use this flare, allies within Close range roll a d6 when they spend a Hope. On a result of 6, they gain the effect of that Hope without spending it. The flare lasts until the end of the scene. 
Consumable;Tier 3 - Rare;Major Arcane Shard ;You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 4d20 magic damage. 
Consumable;Tier 3 - Rare;Featherbone ;You can use this bone to control your falling speed for a number of minutes equal to your level. 
Consumable;Tier 3 - Rare;Circle of the Void ;Mark a Stress to create a void that extends up to Far range. No magic can be cast inside the void, and creatures within the void are immune to magic damage. 
Consumable;Tier 3 - Rare;Sun Tree Sap ;Consume this sap to roll a d6. On a result of 5�6, clear 2 HP. On a result of 2�4, clear 3 Stress. On a result of 1, see through the veil of death and return changed, gaining one scar. 
Consumable;Tier 3 - Rare;Dripfang Poison ;A creature who consumes this poison takes 8d10 direct magic damage. 
Consumable;Tier 3 - Rare;Major Health Potion ;Clear 1d4+2 HP. 
Consumable;Tier 3 - Rare;Major Stamina Potion ;Clear 1d4+2 Stress. 
Consumable;Tier 3 - Rare;Ogre Musk ;You can use this musk to prevent anyone from tracking you by mundane or magical means until your next rest. 
Consumable;Tier 3 - Rare;Wingsprout ;You gain magic wings that allow you to fly for a number of minutes equal to your level. 
Consumable;Tier 3 - Rare;Jar of Lost Voices ;You can open this jar to release a deafening echo of voices for a number of minutes equal to your Instinct. Creatures within Far range unprepared for the sound take 6d8 magic damage. 
Consumable;Tier 3 - Rare;Dragonbloom Tea ;You can drink this tea to unleash a fiery breath attack. Make an Instinct Roll against all adversaries in front of you within Close range. Targets you succeed against take d20 physical damage using your Proficiency. 
Consumable;Tier 3 - Rare;Astral Shard;Make a Finesse Roll to throw the Shard toward a creature. The creature must succeed an Instinct Roll (18) or be sent in another random plane or dimension for 1d6 minutes.
Consumable;Tier 3 - Rare;Atlas of Endless Horizons;The book contains 6 Arcana spells up to Tier 3. Each spells can be used once.
Consumable;Tier 3 - Rare;Bead of Force;Make a Finesse Roll to throw the Bead up to Far Range. Each creature in Very Close range of the Bead must make a Strenght Rection Roll. On a failure, they are blasted to Far Range and take 6d10 physical damage. On a success, they are blaster to Close range and take half damages.
Consumable;Tier 3 - Rare;Candle of Invocation;When lightning this Candle, you can make a Knowledge, Instinct or Presence Roll to summon up to 1d4 Minor Fire Elemental as long as the candle keeps burning (max 1h).
Consumable;Tier 3 - Rare;Crystalline Chronicle;The book contains 6 Grace spells up to Tier 3. Each spells can be used once.
Consumable;Tier 3 - Rare;Duplicitous Manuscript;The book contains 7 Midnight spells up to Tier 3. Each spells can be used once.
Consumable;Tier 3 - Rare;Elixir of Health;Cure any disease and remove blinded, deafened, paralyzed, and poisoned conditions.
Consumable;Tier 3 - Rare;Herbal Treatise;The book contains 7 Sage spells up to Tier 3. Each spells can be used once.
Consumable;Tier 3 - Rare;Astral Gem;1d4 charges of the Astral Projection spell.
Consumable;Tier 3 - Rare;Helm of Teleportation;3 charges to cast the teleport spell.
Consumable;Tier 3 - Rare;Iron Bands of Bilarro;Make a Finesse Roll to throw this Bands to a creature at Close Range. On a success, the creature is Restrained and must succeed a Strength or Agility Roll (20) to get free. Up to one other creature in Melee range must make an Agility Reaction Roll or be caught in the Iron Bands.
Consumable;Tier 3 - Rare;Necklace of Fireballs;1d6+3 beads to cast fireball.
Consumable;Tier 3 - Rare;Necklace of Prayer Beads;1d8 beads to cast Reassurance, Life Ward, Divination, and Restoration.
Consumable;Tier 3 - Rare;Potion of Clairvoyance;Grant the effect of the clairvoyance spell.
Consumable;Tier 3 - Rare;Potion of Diminution;Grant the effect of the enlarge/reduce spell for 1d4 hours.
Consumable;Tier 3 - Rare;Potion of Flying;Grant a flying speed equal to your walking speed for 1 hour.
Consumable;Tier 3 - Rare;Potion of Gaseous Form;Grant the effect of the gaseous form spell for 1 hour.
Consumable;Tier 3 - Rare;Potion of Heroism;Give 10 temporary hp and you're under the effect of the bless spell for 1 hour.
Consumable;Tier 3 - Rare;Potion of Invisibility;You become invisible for 1 hour.
Consumable;Tier 3 - Rare;Potion of Invulnerability;Grant resistance to all damage for 1 min.
Consumable;Tier 3 - Rare;Potion of Longevity;Your physical age is reduced by 1d6 + 6 years.
Consumable;Tier 3 - Rare;Potion of Mind Reading;Grant the effect of the Thought Delver spell.
Consumable;Tier 3 - Rare;Protective Verses;The book contains 7 abjuration spells. 3 charges to grant a creature 2d10 hp.
Consumable;Tier 3 - Rare;Scroll of Protection;You can spend two Hope to use the Scroll to reduce the damage taken by an ally at Close Range by 2 thresholds
Consumable;Tier 3 - Rare;Shadowfell Shard;Make a Finesse Roll to throw this shard up to Far range. Creature within Very Close range must make an Agility Reaction rolls or become Blind for 10 minutes.
Consumable;Tier 2 - Uncommon;Health Potion ;Clear 1d4+1 HP. 
Consumable;Tier 2 - Uncommon;Stamina Potion ;Clear 1d4+1 Stress. 
Consumable;Tier 2 - Uncommon;Major Stride Potion ;You gain a +1 bonus to your Agility until your next rest. 
Consumable;Tier 2 - Uncommon;Major Bolster Potion ;You gain a +1 bonus to your Strength until your next rest. 
Consumable;Tier 2 - Uncommon;Major Control Potion ;You gain a +1 bonus to your Finesse until your next rest. 
Consumable;Tier 2 - Uncommon;Major Attune Potion ;You gain a +1 bonus to your Instinct until your next rest. 
Consumable;Tier 2 - Uncommon;Major Charm Potion ;You gain a +1 bonus to your Presence until your next rest. 
Consumable;Tier 2 - Uncommon;Major Enlighten Potion ;You gain a +1 bonus to your Knowledge until your next rest. 
Consumable;Tier 2 - Uncommon;Blood of the Yorgi ;You can drink this blood to disappear from where you are and immediately reappear at a point you can see within Very Far range. 
Consumable;Tier 2 - Uncommon;Homet's Secret Potion ;After drinking this potion, the next successful attack you make critically succeeds. 
Consumable;Tier 2 - Uncommon;Redthorn Saliva ;You can apply this saliva to a weapon that deals physical damage to add a d12 to your next damage roll with that weapon. 
Consumable;Tier 2 - Uncommon;Channelstone ;You can use this stone to take a spell or grimoire from your vault, use it once, and return it to your vault. 
Consumable;Tier 2 - Uncommon;Mythic Dust ;You can apply this dust to a weapon that deals magic damage to add a d12 to your next damage roll with that weapon. 
Consumable;Tier 2 - Uncommon;Acidpaste ;This paste eats away walls and other surfaces in bright flashes. 
Consumable;Tier 2 - Uncommon;Bloodwell Vial;A vial filled with the blood of magical creature. For one hour, whenever you cast a spell, you can double your Spellcasting Trait.
Consumable;Tier 2 - Uncommon;Deck of Illusions;A deck of 52 cards representing various animals and small objects. Drawing one at random will generate a soundless and immobile illusion of it where the card is for one minute. Once drawn, a card cannot be used again.
Consumable;Tier 2 - Uncommon;Dust of Disappearance;A light, shimmering powder that render anything invisible for 10min when you sprinkle it on and pronounce the activating word.
Consumable;Tier 2 - Uncommon;Dust of Dryness;A dark brown powder that will suck the moisture out of objects
Consumable;Tier 2 - Uncommon;Dust of Sneezing and Choking;A yellowish powder that smells of mustards and onions. People breathing that powder must succeed an Instinct Reaction Roll (15) to hold their breath or be incapacitated for one minute.
Consumable;Tier 2 - Uncommon;Elemental Gem;A gem containing some remnants of elemental power. You can throw it up to Far range with a Finesse Roll. On impact, the gem will shatter and free the elemental essence in it, inflicting 2d6 damages to creature in a Very Close range.
Consumable;Tier 2 - Uncommon;Feywild Shard;You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against are Blinded.
Consumable;Tier 2 - Uncommon;Oil of Slipperiness;You have advantage on Agility and Finesse roll to slip out of a grasp or grapple
Consumable;Tier 2 - Uncommon;Periapt of Wound Closure;When breaking the Periapt, roll 1d4+1. You can distribute the result on any creature within Very Close range to clear HP.
Consumable;Tier 2 - Uncommon;Philter of Love;Whoever drink that philter becomes enraved for one hour by the first person they see
Consumable;Tier 2 - Uncommon;Potion of Animal Friendship;For 1 hour, animals are friendly to you and can obey small, simple orders.
Consumable;Tier 2 - Uncommon;Potion of Fire Breath;Gain the ability to breath fire for up to 1 hour or up to 3 breathes.
Consumable;Tier 2 - Uncommon;Potion of Growth;You double in size. Gain +1 to Strength and -1 to Agility for one hour.
Consumable;Tier 2 - Uncommon;Potion of Poison;Deals 3d6 direct physical damage. The one who drinked the potion is Poisoned until their next rest or after succeeding on a Knowledge Roll (16). While poisoned, all your rolls are at disadvantage.
Consumable;Tier 2 - Uncommon;Potion of Resistance;Grant resistance to one type of damage for 1 hour.
Consumable;Tier 2 - Uncommon;Potion of Water Breathing;Grant the ability to breathe underwater for 1 hour.
Consumable;Tier 2 - Uncommon;Stone of Good Luck (Luckstone);When an ally in Close Range fails a roll, you can spend two Hopes to break the stone and allow them to succeed with Fear instead.
Item;Tier 1 - Common;Premium Bedroll ;During downtime, you automatically clear a Stress. 
Item;Tier 1 - Common;Piper Whistle ;This handcrafted whistle has a distinctive sound. When you blow this whistle, its piercing tone can be heard within a 1-mile radius. 
Item;Tier 1 - Common;Charging Quiver ;When you succeed on an attack with an arrow stored in this quiver, gain a bonus to the damage roll equal to your current tier. 
Item;Tier 1 - Common;Alistair's Torch ;You can light this magic torch at will. The flame's light fills a much larger space than it should, enough to illuminate a cave bright as day. 
Item;Tier 1 - Common;Speaking Orbs ;This pair of orbs allows any creatures holding them to communicate with each other across any distance. 
Item;Tier 1 - Common;Manacles ;This pair of locking cuffs comes with a key. 
Item;Tier 1 - Common;Arcane Cloak ;A creature with a Spellcast trait wearing this cloak can adjust its color, texture, and size at will. 
Item;Tier 1 - Common;Woven Net ;You can make a Finesse Roll using this net to trap a small creature. A trapped target can break free with a successful Attack Roll (16). 
Item;Tier 1 - Common;Fire Jar ;You can pour out the strange liquid contents of this jar to instantly produce fire. The contents regenerate when you take a long rest. 
Item;Tier 1 - Common;Suspended Rod ;This flat rod is inscribed with runes. When you activate the rod, it is immediately suspended in place. Until the rod is deactivated, it can't move, doesn't abide by the rules of gravity, and remains in place. 
Item;Tier 1 - Common;Glamour Stone ;Activate this pebble-sized stone to memorize the appearance of someone you can see. Spend a Hope to magically recreate this guise on yourself as an illusion. 
Item;Tier 1 - Common;Empty Chest ;This magical chest appears empty. When you speak a specific trigger word or action and open the chest, you can see the items stored within it. 
Item;Tier 1 - Common;Companion Case ;This case can fit a small animal companion. While the companion is inside, the animal and case are immune to all damage and harmful effects. 
Item;Tier 1 - Common;Piercing Arrows ;Three times per rest when you succeed on an attack with one of these arrows, you can add your Proficiency to the damage roll. 
Item;Tier 1 - Common;Valorstone ;You can attach this stone to armor that doesn't already have a feature. The armor gains the following feature. Resilient: Before you mark your last Armor Slot, roll a d6. On a result of 6, reduce the severity by one threshold without marking an Armor Slot. 
Item;Tier 1 - Common;Skeleton Key ;When you use this key to open a locked door, you gain advantage on the Finesse Roll. 
Item;Tier 1 - Common;Arcane Prism ;Position this prism in a location of your choosing and activate it. All allies within Close range of it gain a +1 bonus to their Spellcast Rolls. While activated, the prism can't be moved. Once the prism is deactivated, it can't be activated again until your next long rest. 
Item;Tier 1 - Common;Minor Stamina Potion Recipe ;As a downtime move, you can use the bone of a creature to craft a Minor Stamina Potion. 
Item;Tier 1 - Common;Minor Health Potion Recipe ;As a downtime move, you can use a vial of blood to craft a Minor Health Potion. 
Item;Tier 1 - Common;Homing Compasses ;These two compasses point toward each other no matter how far apart they are. 
Item;Tier 1 - Common;Corrector Sprite ;This tiny sprite sits in the curve of your ear canal and whispers helpful advice during combat. Once per short rest, you can gain advantage on an attack roll. 
Item;Tier 1 - Common;Gecko Gloves ;You can climb up vertical surfaces and across ceilings. 
Item;Tier 1 - Common;Lorekeeper ;You can store the name and details of up to three hostile creatures inside this book. You gain a +1 bonus to action rolls against those creatures. 
Item;Tier 1 - Common;Vial of Darksmoke Recipe ;As a downtime move, you can mark a Stress to craft a Vial of Darksmoke. 
Item;Tier 1 - Common;Boots of False Tracks;These boots leave traces of another type of humanoid of the same size.
Item;Tier 1 - Common;Charlatan's Die;This six-sided die allows you to control the result.
Item;Tier 1 - Common;Cloak of Billowing;This cloak can billow dramatically.
Item;Tier 1 - Common;Cloak of Many Fashions;This cloak can change style, color and quality.
Item;Tier 1 - Common;Clothes of Mending;This outfit of traveler's clothes magically mends itself to counteract daily wear and tear.
Item;Tier 1 - Common;Dread Helm;This fearsome steel helm makes your eyes glow red.
Item;Tier 1 - Common;Ear Horn of Hearing;This horn allows you to hear clearly up to Very Far range as if you wear at Close range.
Item;Tier 1 - Common;Ersatz Eye;This artificial eye replaces a real one that was lost or removed.
Item;Tier 1 - Common;Hat of Vermin;Three times a day, you can summon a friendly bat, rat or frog for one hour.
Item;Tier 1 - Common;Hat of Wizardry;Once per Long Rest, as long as you wear the hat, you can cast Telepathy.
Item;Tier 1 - Common;Instrument of Illusions;This musical instrument creates harmless, illusory visual effects without sound.
Item;Tier 1 - Common;Lock of Trickery;This magical lock imposes disadvantage to pick the lock.
Item;Tier 1 - Common;Orb of Direction;This orb helps determine which way is north.
Item;Tier 1 - Common;Orb of Time;This orb helps determine whether it is morning, afternoon, evening, or nighttime outside.
Item;Tier 1 - Common;Pipe of Smoke Monsters;This pipe exhales a puff of smoke that takes the form of a creature for a few seconds.
Item;Tier 1 - Common;Pole of Angling;This pole transforms into a complete fishing pole.
Item;Tier 1 - Common;Prosthetic Limb;Replace a lost limb.
Item;Tier 1 - Common;Rope of Mending;This rope can be cut into pieces and put back together.
Item;Tier 1 - Common;Talking Doll;This doll can speak up to six sentences when in conditions you specified.
Item;Tier 1 - Common;Tankard of Sobriety;This tankard allows you to drink alcohol without getting drunk.
Item;Tier 1 - Common;Veteran's Cane;This cane can transform into a regular longsword and back
Item;Tier 4 - Legendary;Lakestrider Boots ;You can walk on the surface of water as if it were soft ground. 
Item;Tier 4 - Legendary;Clay Companion ;When you sculpt this ball of clay into a clay animal companion, it behaves as that animal. For example, a clay spider can spin clay webs, while a clay bird can fly. The clay companion retains memory and identity across different shapes, but they can adopt new mannerisms with each form. 
Item;Tier 4 - Legendary;Mythic Dust Recipe ;As a downtime move, you can use a handful of fine gold dust to craft Mythic Dust. 
Item;Tier 4 - Legendary;Shard of Memory ;Once per long rest, you can spend 2 Hope to recall a domain card from your vault instead of paying its Recall Cost. 
Item;Tier 4 - Legendary;Gem of Alacrity ;You can attach this gem to a weapon, allowing you to use your Agility when making an attack with that weapon. 
Item;Tier 4 - Legendary;Gem of Might ;You can attach this gem to a weapon, allowing you to use your Strength when making an attack with that weapon. 
Item;Tier 4 - Legendary;Gem of Precision ;You can attach this gem to a weapon, allowing you to use your Finesse when making an attack with that weapon. 
Item;Tier 4 - Legendary;Gem of Insight ;You can attach this gem to a weapon, allowing you to use your Instinct when making an attack with that weapon. 
Item;Tier 4 - Legendary;Gem of Audacity ;You can attach this gem to a weapon, allowing you to use your Presence when making an attack with that weapon. 
Item;Tier 4 - Legendary;Gem of Sagacity ;You can attach this gem to a weapon, allowing you to use your Knowledge when making an attack with that weapon. 
Item;Tier 4 - Legendary;Ring of Unbreakable Resolve ;Once per session, when the GM spends a Fear, you can spend 4 Hope to cancel the effects of that spent Fear. 
Item;Tier 4 - Legendary;Belt of Unity ;Once per session, you can spend 5 Hope to lead a Tag Team Roll with three PCs instead of two. 
